IATA,Airport,Location
YDN,Lt. Col W.G. (Billy) Barker VC Airport,"Dauphin, Manitoba, Canada"
YDO,Dolbeau-Saint-Félicien Airport,"Dolbeau-Mistassini, Quebec, Canada"
YDP,Nain Airport,"Nain, Newfoundland and Labrador, Canada"
YDQ,Dawson Creek Airport,"Dawson Creek, British Columbia, Canada"
YDT,Boundary Bay Airport,"Vancouver, British Columbia, Canada"
YDU,Kasba Lake Airport (TC: CJL8),"Kasba Lake, Northwest Territories, Canada"
YDV,Bloodvein River Airport,"Bloodvein, Manitoba, Canada"
YDW,Obre Lake/North of Sixty Airport (TC: CKV4),"Obre Lake, Northwest Territories, Canada"
YEA[1],metropolitan area1,"Edmonton, Alberta, Canada"
YEB,Bar River Airport (TC: CPF2),"Bar River, Ontario, Canada"
YEC,Yecheon Air Base,"Yecheon, South Korea"
YEG,Edmonton International Airport,"Edmonton, Alberta, Canada"
YEI,Yenisehir Airport,"Bursa, Turkey"
YEK,Arviat Airport,"Arviat, Nunavut, Canada"
YEL,Elliot Lake Municipal Airport,"Elliot Lake, Ontario, Canada"
YEM,Manitowaning/Manitoulin East Municipal Airport,"Manitowaning, Ontario, Canada"
YEN,Estevan Regional Aerodrome,"Estevan, Saskatchewan, Canada"
YEO,Royal Naval Air Station Yeovilton,"Yeovilton, England, United Kingdom"
YEQ,Yankisa Airport,"Yankisa, Papua New Guinea"
YER,Fort Severn Airport,"Fort Severn, Ontario, Canada"
YES,Yasuj Airport,"Yasuj (Yasouj), Iran"
YET,Edson Airport,"Edson, Alberta, Canada"
YEU,Eureka Aerodrome,"Eureka, Nunavut, Canada"
YEV,Inuvik (Mike Zubko) Airport,"Inuvik, Northwest Territories, Canada"
YEY,Amos/Magny Airport,"Amos, Quebec, Canada"
YFA,Fort Albany Airport,"Fort Albany, Ontario, Canada"
YFB,Iqaluit Airport,"Iqaluit, Nunavut, Canada"
YFC,Fredericton International Airport,"Fredericton, New Brunswick, Canada"
YFE,Forestville Airport,"Forestville, Quebec, Canada"
YFG,Fontanges Airport (TC: CTU2),"Fontanges, Quebec, Canada"
YFH,Fort Hope Airport,"Eabametoong (Fort Hope), Ontario, Canada"
YFI,Fort MacKay/Firebag Aerodrome (TC: CFG6),"Fort McKay, Alberta, Canada"
YFJ,Wekweètì Airport (Snare Lake Airport) (TC: CFJ7),"Wekweeti, Northwest Territories, Canada"
YFL,Fort Reliance Water Aerodrome (CJN8),"Fort Reliance, Northwest Territories, Canada"
YFO,Flin Flon Airport,"Flin Flon, Manitoba, Canada"
YFR,Fort Resolution Airport,"Fort Resolution, Northwest Territories, Canada"
YFS,Fort Simpson Airport,"Fort Simpson, Northwest Territories, Canada"
YFX,St. Lewis (Fox Harbour) Airport (TC: CCK4),"St. Lewis, Newfoundland and Labrador, Canada"
YGB,Texada/Gillies Bay Airport,"Gillies Bay, British Columbia, Canada"
YGC,Grande Cache Airport (TC: CEQ5),"Grande Cache, Alberta, Canada"
YGE,Gorge Harbour Water Aerodrome,"Gorge Harbour, British Columbia, Canada"
YGG,Ganges Water Aerodrome (TC: CAX6),"Ganges, British Columbia, Canada"
YGH,Fort Good Hope Airport,"Fort Good Hope, Northwest Territories, Canada"
YGJ,Miho–Yonago Airport,"Yonago, Honshu, Japan"
YGK,Kingston/Norman Rogers Airport,"Kingston, Ontario, Canada"
YGL,La Grande Rivière Airport,"Radisson, Quebec, Canada"
YGM,Gimli Industrial Park Airport,"Gimli, Manitoba, Canada"
YGN,Greenway Sound Water Aerodrome,"Greenway Sound, British Columbia, Canada"
YGO,Gods Lake Narrows Airport,"Gods Lake Narrows, Manitoba, Canada"
YGP,Michel-Pouliot Gaspé Airport,"Gaspé, Quebec, Canada"
YGQ,Geraldton (Greenstone Regional) Airport,"Greenstone (Geraldton), Ontario, Canada"
YGR,Îles-de-la-Madeleine Airport,"Les Îles-de-la-Madeleine, Quebec, Canada"
YGT,Igloolik Airport,"Igloolik, Nunavut, Canada"
YGV,Havre Saint-Pierre Airport,"Havre-Saint-Pierre, Quebec, Canada"
YGW,Kuujjuarapik Airport,"Kuujjuarapik, Quebec, Canada"
YGX,Gillam Airport,"Gillam, Manitoba, Canada"
YGZ,Grise Fiord Airport,"Grise Fiord, Nunavut, Canada"
YHA,Port Hope Simpson Airport (TC: CCP4),"Port Hope Simpson, Newfoundland and Labrador, Canada"
YHB,Hudson Bay Airport,"Hudson Bay, Saskatchewan, Canada"
YHC,Hakai Passage Water Aerodrome,"Hakai Passage, British Columbia, Canada"
YHD,Dryden Regional Airport,"Dryden, Ontario, Canada"
YHE,Hope Aerodrome,"Hope, British Columbia, Canada"
YHF,Hearst (René Fontaine) Municipal Airport,"Hearst, Ontario, Canada"
YHG,Charlottetown Airport (TC: CCH4),"Charlottetown, Prince Edward Island, Canada"
YHH,Campbell River Water Aerodrome (TC: CAE3),"Campbell River, British Columbia, Canada"
YHI,Ulukhaktok/Holman Airport,"Ulukhaktok, Northwest Territories, Canada"
YHK,Gjoa Haven Airport,"Gjoa Haven, Nunavut, Canada"
YHM,John C. Munro Hamilton International Airport,"Hamilton, Ontario, Canada"
YHN,Hornepayne Municipal Airport,"Hornepayne, Ontario, Canada"
YHO,Hopedale Airport,"Hopedale, Newfoundland and Labrador, Canada"
YHP,Poplar Hill Airport,"Poplar Hill, Ontario, Canada"
YHR,Chevery Airport,"Chevery, Quebec, Canada"
YHS,Sechelt Aerodrome (TC: CAP3),"Sechelt, British Columbia, Canada"
YHT,Haines Junction Airport,"Haines Junction, Yukon, Canada"
YHU,Montréal/Saint-Hubert Airport,"Montreal, Quebec, Canada"
YHY,Hay River/Merlyn Carter Airport,"Hay River, Northwest Territories, Canada"
YHZ,Halifax Stanfield International Airport,"Halifax, Nova Scotia, Canada"
YIB,Atikokan Municipal Airport,"Atikokan, Ontario, Canada"
YIC,Yichun Mingyueshan Airport,"Yichun, Jiangxi, China"
YIE,Arxan Yi'ershi Airport,"Arxan (Aershan), Inner Mongolia, China"
YIF,Saint-Augustin Airport,"Saint-Augustin / Pakuashipi, Quebec, Canada"
YIG,Big Bay Water Aerodrome (TC: CAF6),"Stuart Island, British Columbia, Canada"
YIH,Yichang Sanxia Airport,"Yichang, Hubei, China"
YIK,Ivujivik Airport,"Ivujivik, Quebec, Canada"
YIN,Yining Airport,"Yining (Ghulja), Xinjiang, China"
YIO,Pond Inlet Airport,"Pond Inlet, Nunavut, Canada"
YIP,Willow Run Airport,"Detroit, Michigan, United States"
YIV,Island Lake Airport (Garden Hill Airport),"Island Lake / Garden Hill, Manitoba, Canada"
YIW,Yiwu Airport,"Yiwu, Zhejiang, China"
YJA,Jasper Airport,"Jasper, Alberta, Canada"
YJF,Fort Liard Airport,"Fort Liard, Northwest Territories, Canada"
YJN,Saint-Jean Airport,"Saint-Jean-sur-Richelieu, Quebec, Canada"
YJP,Hinton/Jasper-Hinton Airport (TC: CEC4),"Hinton, Alberta, Canada"
YJS,Samjiyon Airport,"Samjiyon, North Korea"
YJT,Stephenville International Airport,"Stephenville, Newfoundland and Labrador, Canada"
YKA,Kamloops Airport,"Kamloops, British Columbia, Canada"
YKC,Collins Bay Airport,"Collins Bay, Saskatchewan, Canada"
YKD,Kincardine Municipal Airport,"Kincardine, Ontario, Canada"
YKE,Knee Lake Airport (TC: CJT3),"Knee Lake, Manitoba, Canada"
YKF,Region of Waterloo International Airport,"Kitchener / Cambridge / Waterloo, Ontario, Canada"
YKG,Kangirsuk Airport,"Kangirsuk, Quebec, Canada"
YKH,Yingkou Lanqi Airport,"Yingkou, Liaoning, China"
YKJ,Key Lake Airport,"Key Lake, Saskatchewan, Canada"
YKK,Kitkatla Water Aerodrome (TC: CAP7),"Kitkatla, British Columbia, Canada"
YKL,Schefferville Airport,"Schefferville, Quebec, Canada"
YKM,Yakima Air Terminal (McAllister Field),"Yakima, Washington, United States"
YKN,Chan Gurney Municipal Airport,"Yankton, South Dakota, United States"
YKO,Hakkari Yüksekova Airport,"Hakkâri / Yüksekova, Turkey"
YKQ,Waskaganish Airport,"Waskaganish, Quebec, Canada"
YKS,Yakutsk Airport,"Yakutsk, Yakutia, Russia"
YKT,Klemtu Water Aerodrome,"Klemtu, British Columbia, Canada"
YKU,Chisasibi Airport (TC: CSU2),"Chisasibi, Quebec, Canada"
YKX,Kirkland Lake Airport,"Kirkland Lake, Ontario, Canada"
YKY,Kindersley Regional Airport,"Kindersley, Saskatchewan, Canada"
YKZ,Buttonville Municipal Airport,"Toronto, Ontario, Canada"
YLB,Lac La Biche Airport,"Lac La Biche, Alberta, Canada"
YLC,Kimmirut Airport,"Kimmirut, Nunavut, Canada"
YLD,Chapleau Airport,"Chapleau, Ontario, Canada"
YLE,Whatì Airport (TC: CEM3),"Whatì, Northwest Territories, Canada"
YLG,Yalgoo Airport,"Yalgoo, Western Australia, Australia"
YLH,Lansdowne House Airport,"Neskantaga (Lansdowne House Indian Band), Ontario, Canada"
YLI,Ylivieska Airfield,"Ylivieska, Finland"
YLJ,Meadow Lake Airport,"Meadow Lake, Saskatchewan, Canada"
YLK,Lake Simcoe Regional Airport,"Barrie / Orillia, Ontario, Canada"
YLL,Lloydminster Airport,"Lloydminster, Alberta/Saskatchewan,2 Canada"
YLM,Clinton Creek Airport,"Clinton Creek, Yukon, Canada"
YLN,Yilan Airport,"Yilan, Heilongjiang, China"
YLP,Mingan Airport,"Mingan, Quebec, Canada"
YLQ,La Tuque Airport,"La Tuque, Quebec, Canada"
YLR,Leaf Rapids Airport,"Leaf Rapids, Manitoba, Canada"
YLS,Lebel-sur-Quévillon Airport (TC: CSH4),"Lebel-sur-Quévillon, Quebec, Canada"
YLT,Alert Airport,"Alert, Nunavut, Canada"
YLV,Yevlakh Airport,"Yevlakh, Azerbaijan"
YLW,Kelowna International Airport,"Kelowna, British Columbia, Canada"
YLY,Langley Regional Airport,"Langley, British Columbia, Canada"
YMA,Mayo Airport,"Mayo, Yukon, Canada"
YMB,Merritt Airport (TC: CAD5),"Merritt, British Columbia, Canada"
YMD,Mould Bay Airport,"Prince Patrick Island, Northwest Territories, Canada"
YME,Matane Airport,"Matane, Quebec, Canada"
YMF,Montague Harbour Water Aerodrome,"Galiano Island, British Columbia, Canada"
YMG,Manitouwadge Airport,"Manitouwadge, Ontario, Canada"
YMH,Mary's Harbour Airport,"Mary's Harbour, Newfoundland and Labrador, Canada"
YMJ,CFB Moose Jaw (C.M. McEwen Airport),"Moose Jaw, Saskatchewan, Canada"
YMK,Mys-Kamenny Airport,"Mys-Kamenny, Yamalo-Nenets Autonomous Okrug, Russia"
YML,Charlevoix Airport,"La Malbaie, Quebec, Canada"
YMM,Fort McMurray International Airport,"Fort McMurray, Alberta, Canada"
YMN,Makkovik Airport,"Makkovik, Newfoundland and Labrador, Canada"
YMO,Moosonee Airport,"Moosonee, Ontario, Canada"
YMP,Port McNeill Airport (TC: CAT5),"Port McNeill, British Columbia, Canada"
YMQ[1],metropolitan area3,"Montreal, Quebec, Canada"
YMS,Moisés Benzaquén Rengifo Airport,"Yurimaguas, Peru"
YMT,Chibougamau/Chapais Airport,"Chibougamau, Quebec, Canada"
YMU,Mansons Landing Water Aerodrome (TC: CAV7),"Mansons Landing, British Columbia, Canada"
YMV,Mary River Aerodrome (TC: CMR2),"Mary River, Nunavut, Canada"
YMW,Maniwaki Airport,"Maniwaki, Quebec, Canada"
YMX,Montréal–Mirabel International Airport,"Montreal, Quebec, Canada"
YNA,Natashquan Airport,"Natashquan, Quebec, Canada"
YNB,Yanbu Airport (Yenbo Airport),"Yanbu al Bahr (Yenbo), Saudi Arabia"
YNC,Wemindji Airport,"Wemindji, Quebec, Canada"
YND,Gatineau-Ottawa Executive Airport,"Gatineau / Ottawa (ON), Quebec, Canada"
YNE,Norway House Airport,"Norway House, Manitoba, Canada"
YNG,Youngstown–Warren Regional Airport,"Youngstown / Warren, Ohio, United States"
YNH,Hudson's Hope Airport,"Hudson's Hope, British Columbia, Canada"
YNJ,Yanji Chaoyangchuan Airport,"Yanji, Jilin, China"
YNL,Points North Landing Airport,"Points North Landing, Saskatchewan, Canada"
YNM,Matagami Airport,"Matagami, Quebec, Canada"
YNN,Yandicoogina Airport,"Yandicoogina, Western Australia, Australia"
YNO,North Spirit Lake Airport (TC: CKQ3),"North Spirit Lake, Ontario, Canada"
YNP,Natuashish Airport (TC: CNH2),"Natuashish, Newfoundland and Labrador, Canada"
YNS,Nemiscau Airport,"Nemiscau, Quebec, Canada"
YNT,Yantai Penglai International Airport,"Yantai, Shandong, China"
YNX,Snap Lake Airport (TC: CSK6),"Snap Lake, Northwest Territories, Canada"
YNY,Yangyang International Airport,"Yangyang, South Korea"
YNZ,Yancheng Nanyang International Airport,"Yancheng, Jiangsu, China"
YOA,Ekati Airport,"Ekati, Northwest Territories, Canada"
YOC,Old Crow Airport,"Old Crow, Yukon, Canada"
YOD,CFB Cold Lake (R.W. McNair Airport),"Cold Lake, Alberta, Canada"
YOE,Donnelly Airport (TC: CFM4),"Donnelly, Alberta, Canada"
YOG,Ogoki Post Airport,"Marten Falls (Ogoki), Ontario, Canada"
YOH,Oxford House Airport,"Oxford House, Manitoba, Canada"
YOI,Opinaca Aerodrome (TC: CPN8),"Opinaca, Quebec, Canada"
YOJ,High Level Airport,"High Level, Alberta, Canada"
YOL,Yola Airport,"Yola, Nigeria"
YON,Yongphulla Airport (Yonphula Airport),"Trashigang, Bhutan"
YOO,Oshawa Airport,"Oshawa, Ontario, Canada"
YOP,Rainbow Lake Airport,"Rainbow Lake, Alberta, Canada"
YOS,Billy Bishop Regional Airport,"Owen Sound, Ontario, Canada"
YOT,Yotvata Airfield,"Yotvata, Israel"
YOW,Ottawa Macdonald–Cartier International Airport,"Ottawa, Ontario, Canada"
YPA,Prince Albert (Glass Field) Airport,"Prince Albert, Saskatchewan, Canada"
YPB,Alberni Valley Regional Airport (TC: CBS8),"Port Alberni, British Columbia, Canada"
YPC,Nora Aliqatchialuk Ruben Airport,"Paulatuk, Northwest Territories, Canada"
YPD,Parry Sound Area Municipal Airport (TC: CNK4),"Parry Sound, Ontario, Canada"
YPE,Peace River Airport,"Peace River, Alberta, Canada"
YPG,Portage la Prairie/Southport Airport,"Portage la Prairie, Manitoba, Canada"
YPH,Inukjuak Airport,"Inukjuak, Quebec, Canada"
YPI,Port Simpson Water Aerodrome (TC: CAN8),"Lax Kw'alaams (Port Simpson), British Columbia, Canada"
YPJ,Aupaluk Airport,"Aupaluk, Quebec, Canada"
YPL,Pickle Lake Airport,"Pickle Lake, Ontario, Canada"
YPM,Pikangikum Airport,"Pikangikum, Ontario, Canada"
YPN,Port-Menier Airport,"Port-Menier, Quebec, Canada"
YPO,Peawanuck Airport,"Peawanuck, Ontario, Canada"
YPQ,Peterborough Airport,"Peterborough, Ontario, Canada"
YPR,Prince Rupert Airport,"Prince Rupert, British Columbia, Canada"
YPS,Port Hawkesbury Airport,"Port Hawkesbury, Nova Scotia, Canada"
YPT,Pender Harbour Water Aerodrome (TC: CAG8),"Pender Harbour, British Columbia, Canada"
YPW,Powell River Airport,"Powell River, British Columbia, Canada"
YPX,Puvirnituq Airport,"Puvirnituq, Quebec, Canada"
YPY,Fort Chipewyan Airport,"Fort Chipewyan, Alberta, Canada"
YPZ,Burns Lake Airport,"Burns Lake, British Columbia, Canada"
YQA,Muskoka Airport,"Muskoka, Ontario, Canada"
YQB,Québec City Jean Lesage International Airport,"Quebec City, Quebec, Canada"
YQC,Quaqtaq Airport,"Quaqtaq, Quebec, Canada"
YQD,The Pas Airport,"The Pas, Manitoba, Canada"
YQF,Red Deer Regional Airport,"Red Deer, Alberta, Canada"
YQG,Windsor International Airport,"Windsor, Ontario, Canada"
YQH,Watson Lake Airport,"Watson Lake, Yukon, Canada"
YQI,Yarmouth Airport,"Yarmouth, Nova Scotia, Canada"
YQJ,April Point Water Aerodrome,"Quadra Island, British Columbia, Canada"
YQK,Kenora Airport,"Kenora, Ontario, Canada"
YQL,Lethbridge Airport,"Lethbridge, Alberta, Canada"
YQM,Greater Moncton International Airport,"Moncton, New Brunswick, Canada"
YQN,Nakina Airport,"Greenstone (Nakina), Ontario, Canada"
YQQ,CFB Comox,"Comox, British Columbia, Canada"
YQR,Regina International Airport,"Regina, Saskatchewan, Canada"
YQS,St. Thomas Municipal Airport,"St. Thomas, Ontario, Canada"
YQT,Thunder Bay International Airport,"Thunder Bay, Ontario, Canada"
YQU,Grande Prairie Airport,"Grande Prairie, Alberta, Canada"
YQV,Yorkton Municipal Airport,"Yorkton, Saskatchewan, Canada"
YQW,North Battleford Airport (Cameron McIntosh Airport),"North Battleford, Saskatchewan, Canada"
YQX,Gander International Airport / CFB Gander,"Gander, Newfoundland and Labrador, Canada"
YQY,Sydney/J.A. Douglas McCurdy Airport,"Sydney, Nova Scotia, Canada"
YQZ,Quesnel Airport,"Quesnel, British Columbia, Canada"
YRA,Gamètì/Rae Lakes Airport,"Gamèti, Northwest Territories, Canada"
YRB,Resolute Bay Airport,"Resolute, Nunavut, Canada"
YRC,Refuge Cove Water Aerodrome,"Refuge Cove, British Columbia, Canada"
YRD,Dean River Airport,"Dean River, British Columbia, Canada"
YRF,Cartwright Airport,"Cartwright, Newfoundland and Labrador, Canada"
YRG,Rigolet Airport (TC: CCZ2),"Rigolet, Newfoundland and Labrador, Canada"
YRI,Rivière-du-Loup Airport,"Rivière-du-Loup, Quebec, Canada"
YRJ,Roberval Airport,"Roberval, Quebec, Canada"
YRL,Red Lake Airport,"Red Lake, Ontario, Canada"
YRM,Rocky Mountain House Airport,"Rocky Mountain House, Alberta, Canada"
YRN,Rivers Inlet Water Aerodrome (TC: CAU8),"Rivers Inlet, British Columbia, Canada"
YRO,Ottawa/Rockcliffe Airport,"Ottawa, Ontario, Canada"
YRP,Ottawa/Carp Airport,"Carp, Ontario, Canada"
YRQ,Trois-Rivières Airport,"Trois-Rivières, Quebec, Canada"
YRR,Stuart Island Airport,"Stuart Island, British Columbia, Canada"
YRS,Red Sucker Lake Airport,"Red Sucker Lake, Manitoba, Canada"
YRT,Rankin Inlet Airport,"Rankin Inlet, Nunavut, Canada"
YRV,Revelstoke Airport,"Revelstoke, British Columbia, Canada"
YSA,Sable Island Aerodrome,"Sable Island, Nova Scotia, Canada"
YSB,Sudbury Airport,"Greater Sudbury, Ontario, Canada"
YSC,Sherbrooke Airport,"Sherbrooke, Quebec, Canada"
YSD,CFB Suffield,"Suffield, Alberta, Canada"
YSE,Squamish Airport,"Squamish, British Columbia, Canada"
YSF,Stony Rapids Airport,"Stony Rapids, Saskatchewan, Canada"
YSG,Lutselk'e Airport,"Lutselk'e, Northwest Territories, Canada"
YSH,Smiths Falls-Montague Airport,"Smiths Falls, Ontario, Canada"
YSI,Parry Sound/Frying Pan Island-Sans Souci Water Aerodrome (TC: CPS9),"Fryingpan Island, Ontario, Canada"
YSJ,Saint John Airport,"Saint John, New Brunswick, Canada"
YSK,Sanikiluaq Airport,"Sanikiluaq, Nunavut, Canada"
YSL,Saint-Léonard Aerodrome,"Saint-Léonard, New Brunswick, Canada"
YSM,Fort Smith Airport,"Fort Smith, Northwest Territories, Canada"
YSN,Salmon Arm Airport,"Salmon Arm, British Columbia, Canada"
YSO,Postville Airport (TC: CCD4),"Postville, Newfoundland and Labrador, Canada"
YSP,Marathon Aerodrome,"Marathon, Ontario, Canada"
YST,St. Theresa Point Airport,"St. Theresa Point, Manitoba, Canada"
YSU,Summerside Airport,"Summerside, Prince Edward Island, Canada"
YSX,Bella Bella/Shearwater Water Aerodrome (TC: CAW8),"Bella Bella, British Columbia, Canada"
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,"Sachs Harbour, Northwest Territories, Canada"
YTA,Pembroke Airport,"Pembroke, Ontario, Canada"
YTB,Hartley Bay Water Aerodrome (TC: CAY4),"Hartley Bay, British Columbia, Canada"
YTD,Thicket Portage Airport,"Thicket Portage, Manitoba, Canada"
YTE,Cape Dorset Airport,"Cape Dorset, Nunavut, Canada"
YTF,Alma Airport,"Alma, Quebec, Canada"
YTG,Sullivan Bay Water Aerodrome (TC: CAV5),"Sullivan Bay, British Columbia, Canada"
YTH,Thompson Airport,"Thompson, Manitoba, Canada"
YTL,Big Trout Lake Airport,"Kitchenuhmaykoosib Inninuwug (Big Trout Lake), Ontario, Canada"
YTM,Mont Tremblant International Airport,"Mont-Tremblant, Quebec, Canada"
YTO[1],metropolitan area4,"Toronto, Ontario, Canada"
YTP,Tofino Harbour Water Aerodrome (TC: CAB4),"Tofino, British Columbia, Canada"
YTQ,Tasiujaq Airport,"Tasiujaq, Quebec, Canada"
YTR,CFB Trenton,"Trenton, Ontario, Canada"
YTS,Timmins/Victor M. Power Airport,"Timmins, Ontario, Canada"
YTT,Tisdale Airport (TC: CJY3),"Tisdale, Saskatchewan, Canada"
YTU,Tasu Water Aerodrome,"Tasu, British Columbia, Canada"
YTX,Telegraph Creek Airport (TC: CBM5),"Telegraph Creek, British Columbia, Canada"
YTY,Yangzhou Taizhou Airport,"Yangzhou / Taizhou, Jiangsu, China"
YTZ,Billy Bishop Toronto City Airport (Toronto Island Airport),"Toronto, Ontario, Canada"
YUA,Yuanmou Air Base,"Yuanmou, Yunnan, China"
YUB,Tuktoyaktuk/James Gruben Airport,"Tuktoyaktuk, Northwest Territories, Canada"
YUD,Umiujaq Airport,"Umiujaq, Quebec, Canada"
YUE,Yuendumu Airport,"Yuendumu, Northern Territory, Australia"
YUL,Montréal–Pierre Elliott Trudeau International Airport,"Montreal, Quebec, Canada"
YUM,Yuma International Airport / MCAS Yuma (FAA: NYL),"Yuma, Arizona, United States"
YUS,Yushu Batang Airport,"Yushu City, Qinghai, China"
YUT,Repulse Bay Airport,"Naujaat (Repulse Bay), Nunavut, Canada"
YUX,Hall Beach Airport,"Hall Beach, Nunavut, Canada"
YUY,Rouyn-Noranda Airport,"Rouyn-Noranda, Quebec, Canada"
YVA,Iconi Airport,"Moroni, Comoros"
YVB,Bonaventure Airport,"Bonaventure, Quebec, Canada"
YVC,La Ronge (Barber Field) Airport,"La Ronge, Saskatchewan, Canada"
YVD,Yeva Airport,"Yeva, Papua New Guinea"
YVE,Vernon Regional Airport,"Vernon, British Columbia, Canada"
YVG,Vermilion Airport,"Vermilion, Alberta, Canada"
YVM,Qikiqtarjuaq Airport,"Qikiqtarjuaq, Nunavut, Canada"
YVN,Cape Dyer Airport,"Cape Dyer, Nunavut, Canada"
YVO,Val-d'Or Airport,"Val-d'Or, Quebec, Canada"
YVP,Kuujjuaq Airport,"Kuujjuaq, Quebec, Canada"
YVQ,Norman Wells Airport,"Norman Wells, Northwest Territories, Canada"
YVR,Vancouver International Airport,"Vancouver, British Columbia, Canada"
